"product title"                      ,"product description"                                                                                                                                                                                                                                                        ,"URL"                                 ,"image url"                         ,"EAN"       ,"SKU"   ,"category"  ,"item 1 - Merchant name","item 1 - price","item 1 - shipping time"                ,"item 1 - shipping cost","item 1 - return in day","item 1 - free return","item 2 - Merchant name","item 2 - price","item 2 - shipping time"                ,"item 2 - shipping cost","item 2 - return in day","item 2 - free return","item 3 - Merchant name","item 3 - price","item 3 - shipping time"                ,"item 3 - shipping cost","item 3 - return in day","item 3 - free return"
"sollicitudin aliquet offendit"      ,"porta discere singulis delicata etiam vituperata veritus cursus convallis agam meliore mauris dolorem tacimates ridens"                                                                                                                                                     ,"http://www.provider.de/product/lA7Eo","http://www.provider.de/image/UbOvN","V0YAT8IEK1","WaLhgf","Category5" ,"Merchant19"            ,"26.24"         ,"Versandfertig in 4 - 5 Werktagen"      ,"0.10"                  ,"18"                    ,"true"                ,"Merchant22"            ,"49.21"         ,"Versandfertig in 2 - 3 Wochen"         ,"2.97"                  ,"21"                    ,"true"                ,"Merchant12"            ,"97.20"         ,"Gewöhnlich versandfertig in 24 Stunden","2.27"                  ,"16"                    ,"true"
"inani gravida"                      ,"dis mi autem mucius definitionem nisi posse maiestatis meliore ut est vehicula sem gubergren quod tempor tempus dictumst non velit veri"                                                                                                                                    ,"http://www.provider.de/product/PBVsJ","http://www.provider.de/image/3AvbY","PLAZV27C3Y","X04VED","Category21","Merchant2"             ,"91.32"         ,"Versandfertig in 1 - 2 Werktagen"      ,"2.16"                  ,"23"                    ,"false"               ,"Merchant5"             ,"46.41"         ,"Versandfertig in 1 - 2 Werktagen"      ,"1.08"                  ,"11"                    ,"false"               ,"Merchant4"             ,"104.52"        ,"Versandfertig in 1 - 2 Werktagen"      ,"1.19"                  ,"26"                    ,"true"
"quis aenean dis"                    ,"pellentesque tincidunt non eros invenire maiorum theophrastus feugiat menandri dolores hinc movet ligula at brute altera gloriatur pertinax"                                                                                                                                ,"http://www.provider.de/product/L3P6f","http://www.provider.de/image/5xPO5","8LRJRKXFMW","AA3Aki","Category20","Merchant6"             ,"52.49"         ,"Versandfertig in 2 - 3 Werktagen"      ,"3.66"                  ,"15"                    ,"false"               ,"Merchant17"            ,"68.83"         ,"Versandfertig in 1 - 3 Wochen"         ,"4.00"                  ,"26"                    ,"false"               ,"Merchant12"            ,"99.94"         ,"Versandfertig in 3 - 5 Wochen"         ,"0.81"                  ,"27"                    ,"true"
"placerat omnesque dicit"            ,"ornare evertitur nonumes feugait invenire aliquet feugiat nunc iisque posse prompta constituto rutrum fames dis augue has erroribus accusata an quaestio bibendum expetendis graeco id appareat"                                                                            ,"http://www.provider.de/product/YC8cP","http://www.provider.de/image/rcy7h","8P0SSPJ1B5","xg9PBf","Category13","Merchant9"             ,"135.89"        ,"Versandfertig in 2 - 3 Wochen"         ,"2.86"                  ,"25"                    ,"true"                ,"Merchant15"            ,"149.22"        ,"Versandfertig in 4 - 5 Werktagen"      ,"3.39"                  ,"24"                    ,"true"                ,"Merchant26"            ,"86.33"         ,"Versandfertig in 3 - 5 Wochen"         ,"1.29"                  ,"2"                     ,"true"
"aperiri omittam"                    ,"neque neglegentur nominavi interesset posse integer fuisset urbanitas morbi meliore his rhoncus sociis volumus quaerendum deterruisset possit ac reformidans luctus"                                                                                                        ,"http://www.provider.de/product/Ad4RP","http://www.provider.de/image/v7zza","AFE89YAC6D","vPZBH9","Category11","Merchant25"            ,"133.63"        ,"Versandfertig in 3 - 5 Wochen"         ,"2.42"                  ,"16"                    ,"false"               ,"Merchant9"             ,"93.92"         ,"Versandfertig in 1 - 2 Werktagen"      ,"3.94"                  ,"5"                     ,"false"               ,"Merchant0"             ,"59.94"         ,"Versandfertig in 2 - 3 Werktagen"      ,"0.43"                  ,"20"                    ,"false"
"dissentiunt tantas"                 ,"graeco noster iuvaret vivendo simul metus urbanitas quot mi ferri verterem patrioque"                                                                                                                                                                                       ,"http://www.provider.de/product/woLbk","http://www.provider.de/image/9QlWM","DOBEL8LNWS","JhGWIe","Category5" ,"Merchant15"            ,"95.96"         ,"Versandfertig in 3 - 5 Wochen"         ,"2.61"                  ,"13"                    ,"false"               ,"Merchant6"             ,"23.86"         ,"Versandfertig in 1 - 3 Wochen"         ,"2.04"                  ,"12"                    ,"true"                ,"Merchant16"            ,"104.86"        ,"Versandfertig in 2 - 3 Werktagen"      ,"2.32"                  ,"29"                    ,"true"
"labores neque"                      ,"expetendis nonumes tempor elementum sociis mei penatibus mandamus neque evertitur ne"                                                                                                                                                                                       ,"http://www.provider.de/product/wySsz","http://www.provider.de/image/OvCsz","KZCAS9GXCW","79ZhQv","Category29","Merchant10"            ,"17.08"         ,"Versandfertig in 3 - 5 Wochen"         ,"4.13"                  ,"13"                    ,"true"                ,"Merchant24"            ,"84.69"         ,"Versandfertig in 3 - 5 Wochen"         ,"3.23"                  ,"27"                    ,"false"               ,"Merchant8"             ,"136.65"        ,"Versandfertig in 2 - 3 Werktagen"      ,"0.84"                  ,"1"                     ,"false"
"labores volutpat consectetur"       ,"ei malesuada fusce noster affert esse dolores cu montes erat vix homero constituam prodesset erroribus ex legimus"                                                                                                                                                          ,"http://www.provider.de/product/8ZKfH","http://www.provider.de/image/p74a9","PQ1BROD8BE","q84KPX","Category10","Merchant26"            ,"52.70"         ,"Versandfertig in 2 - 3 Werktagen"      ,"3.05"                  ,"20"                    ,"false"               ,"Merchant25"            ,"17.98"         ,"Gewöhnlich versandfertig in 24 Stunden","3.26"                  ,"27"                    ,"true"                ,"Merchant21"            ,"63.17"         ,"Versandfertig in 2 - 3 Wochen"         ,"2.59"                  ,"20"                    ,"false"
"erat malesuada"                     ,"ubique nobis quaestio id perpetua elementum salutatus invenire porro pulvinar dicat disputationi indoctum habemus suavitate justo orci est consul dicit quidam imperdiet ocurreret discere phasellus unum populo verterem comprehensam"                                     ,"http://www.provider.de/product/0Cetd","http://www.provider.de/image/KNOec","EPRF1BZPK8","PQxBdu","Category28","Merchant10"            ,"82.44"         ,"Versandfertig in 3 - 5 Wochen"         ,"4.96"                  ,"12"                    ,"false"               ,"Merchant0"             ,"25.35"         ,"Versandfertig in 3 - 4 Werktagen"      ,"3.22"                  ,"25"                    ,"true"                ,"Merchant10"            ,"51.88"         ,"Versandfertig in 2 - 3 Wochen"         ,"0.08"                  ,"28"                    ,"false"
"sadipscing mentitum cubilia"        ,"causae dicit dolores purus laudem vestibulum pertinacia comprehensam invidunt nunc eloquentiam mei mentitum blandit neglegentur errem tempus eirmod"                                                                                                                        ,"http://www.provider.de/product/uPwTL","http://www.provider.de/image/P2dNt","PY72KHFGPD","9NpbhE","Category0" ,"Merchant10"            ,"16.95"         ,"Versandfertig in 3 - 5 Wochen"         ,"3.46"                  ,"11"                    ,"true"                ,"Merchant0"             ,"102.87"        ,"Versandfertig in 2 - 3 Werktagen"      ,"1.44"                  ,"11"                    ,"false"               ,"Merchant26"            ,"99.66"         ,"Versandfertig in 1 - 3 Wochen"         ,"2.84"                  ,"5"                     ,"false"
"alienum petentium"                  ,"vix utinam maximus prodesset partiendo mucius tellus civibus tractatos aptent salutatus amet aenean adolescens eam tale convallis detraxit porro vestibulum primis"                                                                                                         ,"http://www.provider.de/product/zyRfQ","http://www.provider.de/image/BVN93","ZKGEOXTDKF","sdpPq7","Category12","Merchant4"             ,"83.66"         ,"Versandfertig in 3 - 4 Werktagen"      ,"3.16"                  ,"27"                    ,"true"                ,"Merchant16"            ,"126.46"        ,"Versandfertig in 4 - 5 Werktagen"      ,"4.81"                  ,"12"                    ,"false"               ,"Merchant15"            ,"76.15"         ,"Gewöhnlich versandfertig in 24 Stunden","1.29"                  ,"8"                     ,"false"
"varius vocibus unum"                ,"meliore egestas fringilla vocent propriae imperdiet consectetur scripta brute aliquid propriae iaculis est minim sadipscing senectus leo rutrum constituto animal tristique aliquid donec"                                                                                  ,"http://www.provider.de/product/KLhAF","http://www.provider.de/image/8x28u","HVZQ6E5SOQ","06i0cK","Category18","Merchant21"            ,"115.79"        ,"Versandfertig in 2 - 3 Werktagen"      ,"1.62"                  ,"13"                    ,"false"               ,"Merchant12"            ,"104.65"        ,"Versandfertig in 2 - 3 Werktagen"      ,"2.33"                  ,"7"                     ,"false"               ,"Merchant20"            ,"77.44"         ,"Versandfertig in 6 - 10 Werktagen"     ,"2.33"                  ,"0"                     ,"false"
"iusto mus"                          ,"tota consectetur eloquentiam class varius vero pellentesque curabitur adhuc novum netus"                                                                                                                                                                                    ,"http://www.provider.de/product/geyNj","http://www.provider.de/image/eQmZs","GNC2RCLDQA","5SB5sD","Category14","Merchant19"            ,"79.70"         ,"Versandfertig in 2 - 3 Werktagen"      ,"0.43"                  ,"15"                    ,"true"                ,"Merchant1"             ,"69.79"         ,"Versandfertig in 2 - 3 Wochen"         ,"0.42"                  ,"28"                    ,"true"                ,"Merchant6"             ,"82.64"         ,"Versandfertig in 6 - 10 Werktagen"     ,"4.12"                  ,"7"                     ,"true"
"veniam pulvinar meliore"            ,"dictumst metus affert dissentiunt aliquam lobortis morbi inceptos senectus graecis no verterem commune"                                                                                                                                                                     ,"http://www.provider.de/product/uo4Bd","http://www.provider.de/image/tDxr2","DJSQX51KQ3","I9RYSf","Category7" ,"Merchant18"            ,"101.37"        ,"Versandfertig in 2 - 3 Wochen"         ,"1.00"                  ,"6"                     ,"true"                ,"Merchant6"             ,"100.06"        ,"Versandfertig in 2 - 3 Werktagen"      ,"4.09"                  ,"17"                    ,"false"               ,"Merchant4"             ,"30.62"         ,"Versandfertig in 3 - 4 Werktagen"      ,"0.61"                  ,"7"                     ,"true"
"dolore repudiandae eos"             ,"semper mucius legere eirmod utamur magnis suscipiantur maecenas putent deserunt fastidii nibh simul simul bibendum natoque ea possit nullam"                                                                                                                                ,"http://www.provider.de/product/Zb4ky","http://www.provider.de/image/ohmM4","DGFSZGSOND","rlkn7W","Category27","Merchant19"            ,"39.85"         ,"Versandfertig in 6 - 10 Werktagen"     ,"1.38"                  ,"19"                    ,"true"                ,"Merchant25"            ,"52.69"         ,"Versandfertig in 2 - 3 Werktagen"      ,"2.41"                  ,"2"                     ,"true"                ,"Merchant28"            ,"110.12"        ,"Versandfertig in 1 - 2 Werktagen"      ,"4.64"                  ,"26"                    ,"true"
"cu vocibus"                         ,"proin suscipiantur minim elit graecis ludus voluptaria ignota minim voluptaria appetere tellus"                                                                                                                                                                             ,"http://www.provider.de/product/umdBW","http://www.provider.de/image/NtckZ","INSEJV4BPX","xAE5O9","Category28","Merchant5"             ,"136.44"        ,"Versandfertig in 2 - 3 Wochen"         ,"0.36"                  ,"15"                    ,"false"               ,"Merchant20"            ,"96.05"         ,"Versandfertig in 3 - 5 Wochen"         ,"4.12"                  ,"14"                    ,"false"               ,"Merchant7"             ,"104.72"        ,"Versandfertig in 3 - 5 Wochen"         ,"0.32"                  ,"12"                    ,"false"
"dicant tempor"                      ,"consectetuer principes indoctum reformidans vivendo atqui docendi elitr esse nec"                                                                                                                                                                                           ,"http://www.provider.de/product/W9Xbj","http://www.provider.de/image/isnQK","HO8HWZK9O6","XVKVQh","Category12","Merchant7"             ,"61.73"         ,"Gewöhnlich versandfertig in 24 Stunden","1.97"                  ,"23"                    ,"false"               ,"Merchant7"             ,"33.21"         ,"Gewöhnlich versandfertig in 24 Stunden","2.69"                  ,"18"                    ,"false"               ,"Merchant12"            ,"143.48"        ,"Versandfertig in 6 - 10 Werktagen"     ,"1.93"                  ,"20"                    ,"true"
"voluptatum etiam"                   ,"vulputate sapien delicata dico meliore pro gravida nihil conceptam libero facilisi theophrastus vehicula per necessitatibus mediocritatem porro non at graeci nam facilis principes definitiones te litora dolorum dui"                                                     ,"http://www.provider.de/product/z9DsL","http://www.provider.de/image/YFMxE","EZ4SNZO5UW","eGSe9v","Category24","Merchant0"             ,"59.66"         ,"Versandfertig in 1 - 2 Werktagen"      ,"3.14"                  ,"3"                     ,"true"                ,"Merchant27"            ,"14.77"         ,"Versandfertig in 3 - 5 Wochen"         ,"1.36"                  ,"18"                    ,"true"                ,"Merchant25"            ,"59.74"         ,"Versandfertig in 3 - 4 Werktagen"      ,"0.17"                  ,"9"                     ,"true"
"tempus duis simul"                  ,"proin populo iuvaret tamquam pharetra tibique quod graeci vivendo disputationi vivamus viris his enim"                                                                                                                                                                      ,"http://www.provider.de/product/H3ORR","http://www.provider.de/image/ngIri","GYBL1JS4DZ","MW1wvl","Category10","Merchant0"             ,"30.55"         ,"Gewöhnlich versandfertig in 24 Stunden","2.42"                  ,"11"                    ,"false"               ,"Merchant3"             ,"75.88"         ,"Gewöhnlich versandfertig in 24 Stunden","4.39"                  ,"21"                    ,"false"               ,"Merchant21"            ,"135.61"        ,"Versandfertig in 1 - 2 Werktagen"      ,"2.93"                  ,"2"                     ,"false"
"lobortis iriure laudem"             ,"malorum pretium ignota tale eruditi indoctum mediocrem imperdiet duo vehicula dignissim pulvinar massa falli dicunt suscipiantur constituam doctus tempus legimus cras ignota dictum invidunt numquam qui mazim dis"                                                        ,"http://www.provider.de/product/6UEfu","http://www.provider.de/image/Z9L4Q","V9RGSNLJB1","skdxG9","Category23","Merchant10"            ,"90.92"         ,"Versandfertig in 3 - 5 Wochen"         ,"3.67"                  ,"26"                    ,"true"                ,"Merchant8"             ,"50.23"         ,"Versandfertig in 3 - 4 Werktagen"      ,"1.13"                  ,"23"                    ,"false"               ,"Merchant27"            ,"111.01"        ,"Versandfertig in 1 - 3 Wochen"         ,"1.03"                  ,"4"                     ,"false"
"vehicula suavitate"                 ,"repudiandae repudiare nostrum recteque wisi tempor mucius solet lobortis vis molestiae iudicabit vis minim sit fabulas"                                                                                                                                                     ,"http://www.provider.de/product/M7ORP","http://www.provider.de/image/l76P5","5ZXTDKT8QQ","KMNy0G","Category23","Merchant10"            ,"44.30"         ,"Versandfertig in 2 - 3 Werktagen"      ,"1.21"                  ,"0"                     ,"true"                ,"Merchant29"            ,"83.73"         ,"Versandfertig in 1 - 3 Wochen"         ,"2.70"                  ,"24"                    ,"false"               ,"Merchant21"            ,"136.77"        ,"Versandfertig in 6 - 10 Werktagen"     ,"0.22"                  ,"4"                     ,"true"
"maiorum definiebas appetere"        ,"iudicabit alterum graeco quod aenean putent tortor quam tincidunt pharetra auctor non prompta tation"                                                                                                                                                                       ,"http://www.provider.de/product/L1PYB","http://www.provider.de/image/IwWRh","XZU3RQWMAW","bKF8a1","Category20","Merchant12"            ,"71.50"         ,"Versandfertig in 4 - 5 Werktagen"      ,"2.39"                  ,"0"                     ,"false"               ,"Merchant21"            ,"73.69"         ,"Versandfertig in 3 - 5 Wochen"         ,"3.42"                  ,"15"                    ,"true"                ,"Merchant12"            ,"108.62"        ,"Versandfertig in 2 - 3 Wochen"         ,"0.89"                  ,"24"                    ,"true"
"idque elementum qui"                ,"urna vidisse mediocrem mi esse qualisque posidonium quaerendum eam dicunt reformidans sententiae iisque habeo deseruisse"                                                                                                                                                   ,"http://www.provider.de/product/HzG9e","http://www.provider.de/image/nfija","0MELVEJVSF","XO0E7J","Category21","Merchant20"            ,"75.73"         ,"Versandfertig in 6 - 10 Werktagen"     ,"1.71"                  ,"16"                    ,"false"               ,"Merchant29"            ,"136.92"        ,"Versandfertig in 3 - 4 Werktagen"      ,"0.67"                  ,"9"                     ,"true"                ,"Merchant9"             ,"56.18"         ,"Gewöhnlich versandfertig in 24 Stunden","2.16"                  ,"2"                     ,"false"
"potenti vehicula"                   ,"ius senectus delectus graece putent adolescens ex luptatum sumo homero litora malorum dicunt aeque ornare montes ceteros conclusionemque fusce nostrum eleifend equidem prodesset nunc harum imperdiet definitiones postulant vim"                                          ,"http://www.provider.de/product/YRJ2U","http://www.provider.de/image/p5ssR","OMEAWAFJ5T","r5qwy2","Category25","Merchant26"            ,"17.42"         ,"Versandfertig in 1 - 2 Werktagen"      ,"2.77"                  ,"15"                    ,"false"               ,"Merchant21"            ,"85.03"         ,"Versandfertig in 2 - 3 Werktagen"      ,"3.92"                  ,"18"                    ,"false"               ,"Merchant24"            ,"148.13"        ,"Versandfertig in 3 - 5 Wochen"         ,"4.67"                  ,"23"                    ,"true"
"eum duo"                            ,"nulla facilis sem deterruisset vituperata imperdiet deterruisset oratio malesuada parturient atomorum unum verterem tota ignota prompta malorum nominavi deseruisse eum sadipscing gubergren curabitur numquam nostra"                                                      ,"http://www.provider.de/product/GZU8m","http://www.provider.de/image/8IX4D","OON1NNLZ08","HBQuKm","Category22","Merchant12"            ,"53.45"         ,"Versandfertig in 1 - 2 Werktagen"      ,"2.27"                  ,"6"                     ,"false"               ,"Merchant12"            ,"57.35"         ,"Versandfertig in 3 - 5 Wochen"         ,"1.49"                  ,"18"                    ,"false"               ,"Merchant16"            ,"117.43"        ,"Versandfertig in 1 - 2 Werktagen"      ,"4.15"                  ,"10"                    ,"false"
"constituam dicunt"                  ,"harum laoreet atomorum a deseruisse egestas est elit eius theophrastus lorem suavitate commune natoque gravida lobortis mi verear diam commune potenti scelerisque molestie cubilia maluisset suavitate"                                                                    ,"http://www.provider.de/product/hZqak","http://www.provider.de/image/v5cIL","ONERYUJZP7","oXvpXQ","Category3" ,"Merchant29"            ,"137.12"        ,"Versandfertig in 3 - 4 Werktagen"      ,"3.25"                  ,"5"                     ,"false"               ,"Merchant8"             ,"144.92"        ,"Versandfertig in 2 - 3 Wochen"         ,"1.83"                  ,"28"                    ,"true"                ,"Merchant27"            ,"114.49"        ,"Gewöhnlich versandfertig in 24 Stunden","1.62"                  ,"0"                     ,"true"
"ipsum melius"                       ,"inimicus fringilla inciderint gravida constituto nam omittantur libero dictum potenti idque mediocrem convenire"                                                                                                                                                            ,"http://www.provider.de/product/Jpa2f","http://www.provider.de/image/GFmpE","0AXNG8ZRU4","5zPRXh","Category13","Merchant5"             ,"122.02"        ,"Versandfertig in 3 - 4 Werktagen"      ,"0.47"                  ,"4"                     ,"false"               ,"Merchant16"            ,"103.28"        ,"Versandfertig in 4 - 5 Werktagen"      ,"3.24"                  ,"29"                    ,"false"               ,"Merchant3"             ,"66.64"         ,"Versandfertig in 3 - 5 Wochen"         ,"3.47"                  ,"27"                    ,"false"
